"Time (s)","Acceleration (m/s²)"
2.566661496E1,7.259669065E-2
2.570646396E1,-6.256871581E-2
2.574631196E1,2.080848634E-2
2.578616096E1,1.112251514E-1
2.582600896E1,-6.278155446E-3
2.586585796E1,-3.232165396E-2
2.590570596E1,9.588264227E-3
2.594555496E1,-1.526298702E-2
2.598540396E1,4.999895632E-2
2.602525196E1,-4.430201411E-2
2.606510079E1,4.161638796E-2
2.610494879E1,-4.550361693E-2
2.614479779E1,9.428635240E-3
2.618464679E1,-2.485066652E-2
2.622449479E1,5.313657224E-2
2.626434379E1,-1.511797607E-2
2.630419179E1,-1.377370119E-2
2.634404079E1,-1.078401983E-2
2.638388979E1,-2.021674812E-2
2.642373779E1,2.798301995E-2
2.646358679E1,-2.739946783E-2
2.650343479E1,3.726255119E-2
2.654328379E1,2.843325555E-2
2.658313179E1,-5.398149490E-3
2.662298079E1,-6.595074534E-3
2.666282979E1,1.391169548E-2
2.670267779E1,1.257034421E-2
2.674252679E1,-3.697486818E-2
2.678237479E1,1.929815054E-2
2.682222379E1,1.001628041E-2
2.686207179E1,-5.698111653E-3
2.690192079E1,4.444994867E-2
2.694176979E1,-3.563527107E-2
2.698161779E1,1.585647941E-2
2.702146679E1,5.678231120E-3
2.706131467E1,3.367236078E-2
2.710116367E1,-2.066113651E-2
2.714101167E1,5.792895019E-2
2.718086067E1,4.941481948E-3
2.722070967E1,1.976241946E-2
2.726055767E1,-3.739879131E-3
2.730040667E1,-2.574412107E-2
2.734025467E1,1.003148317E-2
2.738010367E1,-2.542369366E-3
2.741995167E1,8.534595966E-3
2.745980067E1,6.290434599E-3
2.749964867E1,-1.473498344E-4
2.753949767E1,2.574704468E-2
2.757934667E1,1.871167481E-2
2.761919467E1,-3.747480512E-3
2.765904367E1,1.885902464E-2
2.769889167E1,-1.602078617E-2
2.773874067E1,-1.422218263E-2
2.777858867E1,-2.997282743E-3
2.781843767E1,5.088831782E-3
2.785828567E1,1.497413456E-2
2.789813467E1,1.953554749E-3
2.793798367E1,1.093546271E-2
2.797783167E1,7.548755407E-4
2.801768067E1,-1.182073116E-2
2.805752908E1,6.735992432E-3
2.809737808E1,-5.088247061E-3
2.813722608E1,-1.481567502E-2
2.817707508E1,2.846424580E-3
2.821692308E1,-1.047645628E-2
2.825677208E1,-1.181956172E-2
2.829662008E1,3.904185891E-3
2.833646908E1,4.504110217E-3
2.837631708E1,1.662655771E-2
2.841616608E1,9.139198065E-4
2.845601508E1,1.214466691E-3
2.849586308E1,1.558750749E-2
2.853571208E1,-2.781929791E-2
2.857556008E1,-5.747812986E-4
2.861540908E1,4.811673760E-3
2.865525708E1,-1.510218859E-2
2.869510608E1,4.956684709E-3
2.873495408E1,2.860457897E-3
2.877480308E1,1.648213148E-2
2.881465108E1,-6.271138787E-3
2.885450008E1,-6.867554784E-3
2.889434808E1,-2.683287263E-3
2.893419708E1,-2.835899591E-3
2.897404508E1,1.351876259E-3
2.901389408E1,1.707094610E-2
2.905374329E1,-5.385870337E-3
2.909359129E1,3.890737295E-3
2.913344029E1,1.242182493E-2
2.917328829E1,-1.317728519E-2
2.921313729E1,-1.856490970E-2
2.925298529E1,3.736955523E-3
2.929283429E1,3.731693029E-3
2.933268229E1,-1.056007147E-3
2.937253129E1,1.031507313E-2
2.941237929E1,-4.657307267E-3
2.945222829E1,-1.289603412E-2
2.949207629E1,7.160500288E-3
2.953192529E1,-7.508994341E-3
2.957177329E1,1.774629951E-3
2.961162229E1,9.859575033E-3
2.965147029E1,5.071874857E-3
2.969131929E1,-1.960571408E-3
2.973116729E1,-7.949289680E-3
2.977101629E1,-4.354421496E-3
2.981086429E1,3.130599260E-3
2.985071329E1,4.774251580E-3
2.989056129E1,-3.455704451E-3
2.993041029E1,1.631957889E-3
2.997025829E1,2.227204442E-3
3.001010729E1,-4.648536444E-4
3.004995479E1,-1.654762030E-4
3.008980379E1,8.368535042E-3
3.012965179E1,-3.004299402E-3
3.016950079E1,1.136698723E-2
3.020934879E1,4.179589748E-3
3.024919779E1,3.283796310E-3
3.028904579E1,7.027183771E-3
3.032889479E1,4.181928635E-3
3.036874279E1,4.927448630E-3
3.040859179E1,-1.662831187E-2
3.044843979E1,-7.946366072E-3
3.048828879E1,8.846837282E-4
3.052813679E1,2.109499991E-2
3.056798579E1,4.178420305E-3
3.060783379E1,-1.656516194E-3
3.064768279E1,-5.850139260E-3
3.068753079E1,7.373338938E-4
3.072737979E1,-3.760929108E-3
3.076722779E1,1.922564507E-3
3.080707679E1,-1.777553558E-4
3.084692479E1,1.616755128E-3
3.088677379E1,2.816019058E-3
3.092662179E1,8.499512672E-3
3.096647079E1,-5.570642352E-3
3.100631879E1,5.653088093E-3
3.104616842E1,1.007475257E-3
3.108601642E1,8.941562176E-3
3.112586542E1,2.054711580E-3
3.116571342E1,7.051742077E-4
3.120556242E1,-1.486654580E-2
3.124541042E1,-7.958060503E-4
3.128525942E1,8.491911292E-3
3.132510742E1,-5.129177570E-3
3.136495642E1,1.747557342E-2
